uuidObjectType;uuidObject;description;iso
ebe0b9fc-658f-4f37-9207-400edd255438;5a7a0ec9-824f-4e39-8285-39cec25be760;Nicaragua;NIC
ebe0b9fc-658f-4f37-9207-400edd255438;8a8f261f-ddd8-46e5-93c2-ce2c3a02400a;Niger;NER
ebe0b9fc-658f-4f37-9207-400edd255438;6365431d-a843-4aa7-8386-e7a10e7ebe48;Nigeria;NGA
ebe0b9fc-658f-4f37-9207-400edd255438;2c51f9e7-8c0b-4811-8733-59f2f5b2a68c;NorthMacedonia;MKD
ebe0b9fc-658f-4f37-9207-400edd255438;31e649fa-81a2-4d88-886a-2d946a48022d;NorthernMarianaIslands;MNP
ebe0b9fc-658f-4f37-9207-400edd255438;3a6e986a-d97f-4ac2-9f1a-2bbe5cb7532c;Norway;NOR
ebe0b9fc-658f-4f37-9207-400edd255438;60db356d-d631-438b-9bfe-5f50b795a3ce;Oman;OMN
ebe0b9fc-658f-4f37-9207-400edd255438;6cf8b9d2-eae3-4f54-9a75-33db07b09dc4;Panama;PAN
ebe0b9fc-658f-4f37-9207-400edd255438;0251f213-8104-4cb6-959a-ad230c83c1ac;PapuaNewGuinea;PNG
ebe0b9fc-658f-4f37-9207-400edd255438;b2feb9bb-1310-4356-a3f7-2761e7265fd2;Paraguay;PRY
ebe0b9fc-658f-4f37-9207-400edd255438;39628007-840d-4402-b4e3-1100da315d78;Peru;PER
ebe0b9fc-658f-4f37-9207-400edd255438;a803fcc9-761a-44fa-b388-ee1ab37f9de8;Philippines;PHL
ebe0b9fc-658f-4f37-9207-400edd255438;d5a7dbfb-6baa-4417-b624-ded024cd65ed;Poland;POL
ebe0b9fc-658f-4f37-9207-400edd255438;d98464dd-5f39-4552-9e6d-a6f10fd86fe8;PuertoRico;PRI
ebe0b9fc-658f-4f37-9207-400edd255438;0698957d-e87f-4eb8-a47b-54963339412d;Qatar;QAT
ebe0b9fc-658f-4f37-9207-400edd255438;1af5392b-d3ea-41a2-9af5-87ba6b72b8fb;Reunion_France;REU
ebe0b9fc-658f-4f37-9207-400edd255438;46696a94-cc5e-49ea-a4e8-517601357b08;Romania;ROU
ebe0b9fc-658f-4f37-9207-400edd255438;3a9e3cdd-0784-43e8-afef-8b849e84befb;Russia;RUS
ebe0b9fc-658f-4f37-9207-400edd255438;fcef4937-d0f4-4b86-8ce0-29936011d344;Rwanda;RWA
ebe0b9fc-658f-4f37-9207-400edd255438;96b61961-d6a0-4ec0-a0a7-a9c19fe142e5;SaintKittsandNevis;KNA
ebe0b9fc-658f-4f37-9207-400edd255438;00dee2cc-3e52-43a8-8f86-79d425565491;SaintLucia;LCA
ebe0b9fc-658f-4f37-9207-400edd255438;a97347df-9bae-4c55-8b8d-5d56d3d94efe;SaintVincentandtheGrenadines;VCT
ebe0b9fc-658f-4f37-9207-400edd255438;666ba88c-cb98-4323-8e9a-855902901802;SanMarino;SMR
ebe0b9fc-658f-4f37-9207-400edd255438;3ddd24bd-cfe1-41aa-86dc-bf482874ec12;SaoTomeandPrincipe;
ebe0b9fc-658f-4f37-9207-400edd255438;0a9d40cb-fb3a-414f-a754-826d7eeeaa6b;Senegal;SEN
ebe0b9fc-658f-4f37-9207-400edd255438;976d6403-a4da-40df-b5a7-804181adc989;Serbia;SRB
ebe0b9fc-658f-4f37-9207-400edd255438;88851f47-553e-45d1-8602-5a00b85e1829;Seychelles;SYC
ebe0b9fc-658f-4f37-9207-400edd255438;3fd4e51e-1a99-48d5-95ed-abd339a1f8b4;SierraLeone;SLE
ebe0b9fc-658f-4f37-9207-400edd255438;ad438d09-ca75-4bdd-8d9d-1e1591df9bbe;Slovakia;SVK
ebe0b9fc-658f-4f37-9207-400edd255438;b8b9de9b-c0af-4b2f-b0d0-36e66b74c43c;Slovenia;SVN
ebe0b9fc-658f-4f37-9207-400edd255438;ecbde44b-ee0a-450b-bc5c-4023cff484a5;Somalia;SOM
ebe0b9fc-658f-4f37-9207-400edd255438;28f18547-e209-4aeb-8e77-fdeb9a159002;SouthAfrica;ZAF
ebe0b9fc-658f-4f37-9207-400edd255438;60e3baba-7b9f-4c6b-935a-a4522963ebfd;SouthSudan;SSD
ebe0b9fc-658f-4f37-9207-400edd255438;c0c0f97c-6f00-42fa-835f-c1b95a01c6b0;SriLanka;LKA
ebe0b9fc-658f-4f37-9207-400edd255438;3968a106-c79c-42d7-b1eb-060427210078;Sudan;SDN
ebe0b9fc-658f-4f37-9207-400edd255438;53189eb7-96eb-4f9a-8903-97328df0ffce;Suriname;SUR
ebe0b9fc-658f-4f37-9207-400edd255438;fc8fb84c-5d96-4d0c-b647-9c00331907cb;Sweden;SWE
ebe0b9fc-658f-4f37-9207-400edd255438;bfe6b4e8-1a70-4d8f-b37f-54c5a8ec1bc3;Switzerland;CHE
ebe0b9fc-658f-4f37-9207-400edd255438;8a102774-ad89-4ee7-ab15-fd90878c3cc7;Syria;SYR
ebe0b9fc-658f-4f37-9207-400edd255438;3f1d4ab3-fccd-4775-a90e-55f014ead408;SãoToméandPríncipe;
ebe0b9fc-658f-4f37-9207-400edd255438;833d4749-5b94-4ce4-9261-6fb07895cc42;Tajikistan;TJK
ebe0b9fc-658f-4f37-9207-400edd255438;e7effe56-40eb-4859-bb3d-22f5d6fa6934;Tanzania;TZA
ebe0b9fc-658f-4f37-9207-400edd255438;29ce7bc9-43f1-4e8a-8eff-c7e0932a0a31;TheBahamas;BHS
ebe0b9fc-658f-4f37-9207-400edd255438;e855c6e5-f1ac-4cdb-a056-6da46be02026;Timor-Leste;TLS
ebe0b9fc-658f-4f37-9207-400edd255438;9340713e-1aba-4dbc-80da-0cf453660ac3;Togo;TGO
ebe0b9fc-658f-4f37-9207-400edd255438;df1a3c7d-831c-485a-8452-93c2aff7971b;TrinidadandTobago;TTO
ebe0b9fc-658f-4f37-9207-400edd255438;4ead1beb-efa8-4c36-bb03-3e0af7263674;Tunisia;TUN
ebe0b9fc-658f-4f37-9207-400edd255438;65c19225-1932-40f3-961f-ad6cd27dc79e;Uganda;UGA
ebe0b9fc-658f-4f37-9207-400edd255438;59f680c4-6a05-45a1-910c-d9ad31df6b84;Ukraine;UKR
ebe0b9fc-658f-4f37-9207-400edd255438;62cf5527-a811-49a9-ba34-2ff16e6aecef;UnitedArabEmirates;ARE
ebe0b9fc-658f-4f37-9207-400edd255438;13105735-11c4-47d4-9092-a626ce3a23ce;UnitedStates;USA
ebe0b9fc-658f-4f37-9207-400edd255438;bf879f4b-6c75-4f4b-95f7-87876f3e3213;Uruguay;URY
ebe0b9fc-658f-4f37-9207-400edd255438;27cde4c2-77c8-4c52-aecc-08fca28409ce;Uzbekistan;UZB
ebe0b9fc-658f-4f37-9207-400edd255438;4105bfe1-9683-408e-b12e-d6e9e59d672e;Venezuela;VEN
ebe0b9fc-658f-4f37-9207-400edd255438;3ed39508-36a1-41c0-931c-97585cb79a7b;Vietnam;VNM
ebe0b9fc-658f-4f37-9207-400edd255438;a187314b-77a4-4024-b47c-cabe5a850bb6;VirginIslands_UnitedStates;VIR
ebe0b9fc-658f-4f37-9207-400edd255438;f94255e5-17a2-426b-ae1c-c3af7cd3409e;WestBankandGaza;
ebe0b9fc-658f-4f37-9207-400edd255438;c947bfc2-0e4b-4074-8512-9cd2d64005be;WesternSahara;ESH
ebe0b9fc-658f-4f37-9207-400edd255438;05d35361-5a86-48e1-abaf-28f2e5ef7b74;Yemen;YEM
ebe0b9fc-658f-4f37-9207-400edd255438;64a102a8-5558-4b2f-8962-3c4e0947d8d8;Zambia;ZMB
ebe0b9fc-658f-4f37-9207-400edd255438;b1c8106b-0a3f-4386-a20f-23ec25f61d13;Zimbabwe;ZWE
ebe0b9fc-658f-4f37-9207-400edd255438;dd2b305e-e46b-4546-98c8-5eeb4783ce56;Germany;DEU
7fc681f0-a507-4b84-857f-00b4ae9d24ed;8928db67-515f-4683-82cd-8cd3b3d5c2d2;Alabama_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;0f6724b6-f3c8-4805-899c-c11e4fe2e9ec;Alaska_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;ed936c90-ee12-4bcf-ab77-49db8cab20ec;AmericanSamoa_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;9112cc99-b7a7-476b-b038-11d0d14a4e5c;Arizona_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;eda823f0-0e12-4e43-8144-762b8548c568;Colorado_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;e1fb55fb-aaa1-4d31-9f87-4c84377c7c3e;Connecticut_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;b591a861-5cff-4e21-b86c-d2d4032e3cc3;Delaware_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;5635adbf-0006-43bc-ae26-6379a6d497ba;DistrictofColumbia_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;6998b1bb-a710-493f-82b2-fdf1947bfacd;Guam_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;bc6f39d6-56ef-4c2b-a460-7cd3894d0ea3;Hawaii_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;88f377cf-88d1-4418-8e6f-3576c4363d97;Idaho_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;57ed6dde-8699-4d23-b037-61f21a0048cf;Illinois_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;7f9098d6-62ef-4790-a86b-f66f49c359bd;Indiana_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;ef5e145d-2419-43bf-8ab9-99a02607b506;Iowa_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;c893a214-914c-401c-b2af-f3938fd3a671;Kansas_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;99b059de-03d9-4b3a-ab47-cfad88daeccf;Kentucky_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;1b1053de-5bbc-40c7-98d1-68b1ec013b2f;Louisiana_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;a818e041-295d-4f5e-b0e2-12b6f6cc2ebd;Maine_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;4f12760b-5e39-4ae5-9844-00d30595f1cb;Maryland_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;a4324b84-2f65-414f-87b1-9b0e0ece09e5;Massachusetts_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;842d8a73-716f-4503-b717-4ad8deb1831c;Michigan_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;85ffea67-7de4-4678-8850-adecc6068622;Minnesota_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;8bf51633-4f8f-4dce-87e9-43ca947fdfff;Mississippi_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;4e8bff13-9c33-4a5d-8388-c99569dab18f;Missouri_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;9f4b4b1a-3105-4e51-b1c1-b4aee154e067;Montana_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;665d0498-fa8f-4172-9e28-9d1c6f83e0df;Nebraska_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;60272373-bbe8-49ab-9d8b-47dcf42984e8;Nevada_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;701a6a5b-8800-441d-a428-0b71e2d3ea28;NewHampshire_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;b52ab7ed-564d-462f-85cf-69d3c5cf200e;NewMexico_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;2a3731fa-4172-4691-94cc-e4d990cba841;NorthCarolina_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;d9eaaba5-4c61-4dcd-a4bd-fa8a42826aa2;NorthDakota_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;3bba2e7a-56d7-4536-86db-502f0ab1cf6b;NorthernMarianaIslands_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;a799eec2-8c0d-4afb-99f9-489ec0ea389f;Oregon_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;fac74de1-1254-4c2a-959e-eb39e05018aa;PuertoRico_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;0f857a8b-1f59-46ea-96ef-c3cfd2799f3d;RhodeIsland_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;3aa375cd-c393-4d36-87bd-bf44a4336d1b;SouthCarolina_UnitedStates;
7fc681f0-a507-4b84-857f-00b4ae9d24ed;279ac56d-c914-4848-bdfd-9d4347742bc7;SouthDakota_UnitedStates;
